PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Jake LaRavia;584.12;76;151;22;56;41;59;36;81;117;88;35;22;17;16;58;46;215;1;0;2639.71;2.2800000000000002;1289
Jakob Poeltl;786.16;162;273;0;1;58;85;99;179;278;66;54;27;31;21;90;76;382;14;0;2432.81;2.972;1656
Jalen Bridges;10.97;0;2;0;2;1;2;0;1;1;0;2;0;0;0;0;1;1;0;0;192.2;-0.14100000000000001;22
Jalen Brunson;857.2;211;430;66;154;130;158;11;63;74;195;59;16;2;21;56;142;618;7;0;2427.08;3.5220000000000002;1738
Jalen Duren;550.22;83;122;0;0;38;66;70;135;205;54;45;9;29;15;73;58;204;8;0;2273.4;2.235;1131
Jalen Green;812.9;161;406;62;193;97;111;13;104;117;66;68;29;7;34;42;73;481;1;0;2500.05;2.496;1688
Jalen Hood-Schifino;14.13;1;1;0;0;2;2;1;0;1;1;1;0;1;0;3;2;4;0;0;220.66;0.043;33
Jalen Johnson;876.98;189;376;38;109;60;80;42;201;243;134;80;33;27;28;48;60;476;13;1;2560.67;3.2279999999999998;1952
Jalen Pickett;36.85;2;4;1;3;0;0;1;4;5;7;2;1;0;0;6;0;5;0;0;423.25;1.123;79
Jalen Smith;324.64;61;132;27;75;27;34;30;82;112;15;14;8;15;3;35;33;176;0;0;2402.05;2.699;733
Jalen Suggs;789.12;148;356;60;189;75;82;17;90;107;98;74;41;24;10;70;97;431;0;0;2581.8;2.711;1631
Jalen Williams;763.72;204;404;48;125;67;83;22;125;147;120;53;49;20;19;65;65;523;2;0;2466.28;3.795;1626
Jalen Wilson;575.2;68;158;30;87;35;40;24;58;82;39;20;8;1;18;53;36;201;0;0;2244.32;1.324;1165
Jamal Cain;201.19;25;52;9;26;9;14;12;25;37;10;7;8;7;0;19;10;68;0;0;1491.1;1.016;411
Jamal Murray;612.6;108;257;33;99;53;66;9;59;68;106;32;23;10;13;29;66;302;1;0;1695.1;1.629;1279
Jamal Shead;324.7;41;108;13;44;9;12;2;19;21;65;30;10;2;7;42;21;104;0;0;2330.6;0.583;686
James Harden;813.64;148;391;68;201;155;173;14;148;162;205;105;38;16;26;47;112;519;12;1;2349.3;3.708;1660
James Johnson;10.38;2;4;0;1;0;0;0;2;2;2;3;0;1;0;0;0;4;0;0;337.97;0.43;26
James Wiseman;4.63;2;4;0;1;2;2;0;1;1;0;0;0;0;0;0;1;6;0;0;119.14;0.156;11
Jamison Battle;311.15;46;97;31;73;9;11;13;33;46;21;8;3;4;3;28;9;132;0;0;2324.98;1.7750000000000001;648
Jarace Walker;456.01;49;113;24;61;19;31;12;76;88;39;36;30;9;6;41;26;141;0;0;2647.65;1.072;988
Jared Butler;179.9;38;85;5;22;16;22;4;11;15;46;12;6;2;11;20;17;97;0;0;1794.67;2.304;397
Jared McCain;562.95;124;268;50;131;49;56;13;42;55;57;35;15;0;11;32;43;347;1;0;2201.41;2.747;1150
Jared Rhoden;11.65;2;8;0;2;0;0;2;2;4;2;1;1;0;0;1;1;4;0;0;458.31;-0.452;26
Jaren Jackson Jr.;644.93;181;350;42;120;100;123;30;104;134;29;49;32;44;23;75;109;504;0;0;2452.5;3.233;1430
Jarrett Allen;744.63;136;199;0;1;62;84;57;202;259;45;26;23;22;14;31;78;334;15;0;2559.66;3.47;1590
Javonte Green;560.63;52;122;17;54;30;39;24;55;79;20;14;27;17;7;30;32;151;0;0;2439.19;1.428;1184
